Date,Open,High,Low,Close,Volume,Symbol
2018-01-01,355.8411797439228,355.91323674705865,352.62508957191153,354.18359375,132120,NESTLEIND
2018-01-02,353.8142913415774,356.87947741562726,353.2737675113648,354.19940185546875,1312260,NESTLEIND
2018-01-03,355.841164007918,357.417675494029,353.59576781796557,354.0439453125,558960,NESTLEIND
2018-01-04,354.2646876645033,355.9402811282842,353.0935757269477,354.45611572265625,558040,NESTLEIND
2018-01-05,353.42240326034965,355.1205404138885,353.1836611440219,353.8930969238281,199400,NESTLEIND
2018-01-08,352.68815628271324,358.9288810807419,352.68815628271324,357.6947021484375,718380,NESTLEIND
2018-01-09,357.6947462134853,358.9424514519224,346.2920608530187,350.4022521972656,1168880,NESTLEIND
2018-01-10,353.5889843932977,354.33668912997916,350.40442807556053,353.4380798339844,440920,NESTLEIND
2018-01-11,353.80521558962215,356.2916083034725,351.71297825324274,354.6835632324219,941200,NESTLEIND
2018-01-12,354.8502442330498,355.84345426731386,348.86175983873045,350.8526611328125,646820,NESTLEIND
2018-01-15,352.01259324384125,354.039537158873,348.8595693760142,349.44287109375,528080,NESTLEIND
2018-01-16,349.5351390986194,352.46069196167485,347.82350345198495,350.1927795410156,559140,NESTLEIND
2018-01-17,351.3233764425196,352.0125504861683,345.77856052815093,349.6207580566406,1404800,NESTLEIND
2018-01-18,352.6881883141525,352.6881883141525,346.2289825772029,348.463134765625,600020,NESTLEIND
2018-01-19,351.33693346705894,351.33693346705894,345.3461938179167,345.9610290527344,380740,NESTLEIND
2018-01-22,345.37093134537685,347.50822862079895,344.13675227501267,345.3461608886719,621240,NESTLEIND
2018-01-23,346.7875717894884,346.7875717894884,341.65263652578017,342.31475830078125,734760,NESTLEIND
2018-01-24,343.6795350752604,343.85746447086416,340.0085041427872,342.0084228515625,317260,NESTLEIND
2018-01-25,340.211215233187,343.4813552899681,334.80603232734893,337.40728759765625,748760,NESTLEIND
2018-01-29,339.1751738555883,341.74038647086155,336.0221509910609,339.2134704589844,931460,NESTLEIND
2018-01-30,338.72490384746834,338.781207854092,333.547189597739,335.837646484375,577440,NESTLEIND
2018-01-31,337.1009840656398,338.4545340982852,334.049297005403,336.434326171875,496780,NESTLEIND
2018-02-01,337.77889342702827,339.48827479285586,327.9144238020447,329.30401611328125,2127900,NESTLEIND
2018-02-02,328.8152762348875,333.99524291530014,320.9327182429553,321.4034118652344,1288260,NESTLEIND
2018-02-05,321.1579086157037,324.2658993733722,315.1964496871381,321.3695983886719,1111500,NESTLEIND
2018-02-06,315.302292913422,316.88331309520777,314.6266451428932,316.0364990234375,1364380,NESTLEIND
2018-02-07,319.71431029443295,320.52733659402423,314.2122999019396,315.6176452636719,801720,NESTLEIND
2018-02-08,315.93298439809087,319.5364400399639,310.22373737175053,314.6717529296875,1365780,NESTLEIND
2018-02-09,314.0861187717001,316.79772726531957,311.79791731038495,313.93524169921875,1490640,NESTLEIND
2018-02-12,315.21227778932735,324.2659766139953,315.03437586112267,321.6940002441406,2097700,NESTLEIND
2018-02-14,324.3108978371142,332.6078439423046,322.59926248585344,327.2364501953125,2348980,NESTLEIND
2018-02-15,337.82393636993265,344.35519913975133,334.53804324665214,341.571533203125,7088720,NESTLEIND
2018-02-16,344.58045638608934,347.73348017001433,341.2022166175983,342.0062255859375,1539820,NESTLEIND
2018-02-19,343.67950383190407,343.67950383190407,337.3757122486735,338.12567138671875,1014920,NESTLEIND
2018-02-20,338.7247526603869,342.59620123158277,338.7247526603869,341.0962829589844,997300,NESTLEIND
2018-02-21,341.3823835613681,343.16607647614114,340.99949991118245,342.2179260253906,1467340,NESTLEIND
2018-02-22,342.283231637182,344.9813144757474,336.88929282687326,339.7743225097656,1888420,NESTLEIND
2018-02-23,341.11205537975934,343.1818041530933,338.99952877430326,341.5534973144531,1329280,NESTLEIND
2018-02-26,343.00387250354396,344.5803840646239,340.6233521428723,343.465576171875,1317880,NESTLEIND
2018-02-27,344.31012323464086,351.0666011042988,343.22907577862406,349.5328674316406,1397660,NESTLEIND
2018-02-28,349.49012299302376,354.6700898546757,347.68614103009133,349.6094665527344,1511520,NESTLEIND
2018-03-01,350.3008287351212,354.7600872173687,350.3008287351212,353.56195068359375,1221720,NESTLEIND
2018-03-05,354.9403547128333,354.9403547128333,346.61638158762474,347.46319580078125,1272860,NESTLEIND
2018-03-06,349.68836127336067,350.4360662332867,344.5804507306739,346.33038330078125,1246120,NESTLEIND
2018-03-07,347.2784977153728,351.24680178647293,344.5961679639818,347.03302001953125,1227760,NESTLEIND
2018-03-08,350.7963259245861,350.7963259245861,346.83253106795945,347.28521728515625,999880,NESTLEIND
2018-03-09,349.87295158571766,349.87295158571766,344.22003717118184,344.91143798828125,2086200,NESTLEIND
2018-03-12,346.598366923984,347.23800008520766,340.7968012281016,343.1841125488281,578860,NESTLEIND
2018-03-13,343.1839917072167,350.6161162402535,343.0353415187471,346.84375,1317180,NESTLEIND
