Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,Is_Outlier
2018-01-01,2858.9696583437926,2858.9696583437926,2806.442656746925,2813.271240234375,201102.0,HEROMOTOCO,,False
2018-01-02,2837.2082981138988,2839.722163458994,2790.871981687416,2809.33154296875,258156.0,HEROMOTOCO,-0.0014003972348207716,False
2018-01-03,2797.4381763204788,2824.7521453201416,2797.4381763204788,2817.8486328125,274963.0,HEROMOTOCO,0.003031714026443977,False
2018-01-04,2817.697980885347,2821.4123530351403,2792.5976187341607,2805.61669921875,196775.0,HEROMOTOCO,-0.004340876742389588,False
2018-01-05,2820.474595983728,2820.474595983728,2796.0870615808044,2809.931640625,234199.0,HEROMOTOCO,0.0015379653989981978,False
2018-01-08,2831.205146207789,2845.4624740047534,2810.4194996910865,2841.52294921875,249549.0,HEROMOTOCO,0.011242732078251993,False
2018-01-09,2851.465726059949,2855.0676141433205,2808.43103188811,2813.53369140625,290158.0,HEROMOTOCO,-0.009850090360943753,False
2018-01-10,2806.4417468262504,2815.859121413405,2795.185964419193,2804.115478515625,250123.0,HEROMOTOCO,-0.003347467606089949,False
2018-01-11,2806.9670646152786,2808.843028406317,2776.576451200453,2780.666015625,366134.0,HEROMOTOCO,-0.008362516832950861,False
2018-01-12,2796.612175893946,2796.612175893946,2739.3578979689605,2766.9345703125,363795.0,HEROMOTOCO,-0.004938185756700353,False
2018-01-15,2767.1974017875286,2776.427182846108,2711.631302204424,2722.999755859375,229198.0,HEROMOTOCO,-0.0158785158581336,False
2018-01-16,2729.677549132675,2749.412726247571,2684.992051835537,2690.957763671875,271813.0,HEROMOTOCO,-0.011767166750034308,False
2018-01-17,2690.8827503532216,2693.9967773003623,2646.08476686038,2676.512939453125,501484.0,HEROMOTOCO,-0.005367911906220213,False
2018-01-18,2690.8830295110283,2733.655012969514,2683.416728687587,2696.3984375,345926.0,HEROMOTOCO,0.007429628960037071,False
2018-01-19,2669.8722759081847,2716.3961885294066,2665.595114129708,2693.697021484375,295410.0,HEROMOTOCO,-0.0010018608444714028,False
2018-01-22,2695.947910030999,2717.821577361384,2693.209075824486,2703.601806640625,320126.0,HEROMOTOCO,0.00367702272276782,False
2018-01-23,2726.9014449358647,2727.651830583893,2707.5790144991283,2723.89990234375,285236.0,HEROMOTOCO,0.007507797802645433,False
2018-01-24,2723.6748754346245,2738.9077414310023,2701.3884573018104,2735.531005859375,312383.0,HEROMOTOCO,0.004270018698417255,False
2018-01-25,2746.33651791893,2746.33651791893,2672.1234463397536,2679.77734375,487836.0,HEROMOTOCO,-0.020381294158228647,False
2018-01-26,2746.33651791893,2746.33651791893,2672.1234463397536,2679.77734375,487836.0,HEROMOTOCO,0.0,False
