Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,Is_Outlier
2018-01-01,456.23654384650814,462.3368811959488,451.42502204572673,453.5730285644531,4807939.0,BHARTIARTL,,False
2018-01-02,457.8691087310065,457.8691087310065,439.782891773545,443.8211364746094,5242199.0,BHARTIARTL,-0.021500158686040605,False
2018-01-03,446.0550504589786,451.51099530567205,442.27457477619,445.2388305664063,6333269.0,BHARTIARTL,0.0031942915181057963,False
2018-01-04,445.9262130230472,452.97165584044393,442.05979480133584,449.3630065917969,5953924.0,BHARTIARTL,0.009262839946246437,False
2018-01-05,451.0814107654674,466.1174587607685,445.53955249389946,463.9694519042969,8008838.0,BHARTIARTL,0.03250477920575379,False
2018-01-08,458.9430790833267,458.9430790833267,441.801996297973,443.6492919921875,12287843.0,BHARTIARTL,-0.04379633147981654,False
2018-01-09,445.0669881538346,447.6875617697333,433.63958928816567,438.02154541015625,7541257.0,BHARTIARTL,-0.012685124677558002,False
2018-01-10,442.48937362427097,444.6373804335808,433.2958951704847,435.1002197265625,6667296.0,BHARTIARTL,-0.006669365272565009,False
2018-01-11,436.4749396578568,443.95000668995056,432.35078179844464,442.2745666503906,5905519.0,BHARTIARTL,0.01648895265632544,False
2018-01-12,443.348559748015,444.5084909763851,433.4677459919265,437.80670166015625,4847824.0,BHARTIARTL,-0.010102016546129189,False
2018-01-15,438.02155625679103,439.8688230073313,431.70639088779126,433.4677734375,2834570.0,BHARTIARTL,-0.00991060257004539,False
2018-01-16,436.4749147047887,441.3294079696798,422.2121459481592,427.2384948730469,6420450.0,BHARTIARTL,-0.014370799736860507,False
2018-01-17,425.30537156455296,432.3508440773154,422.2552021013004,429.5154724121094,6824337.0,BHARTIARTL,0.005329523360808386,False
2018-01-18,430.4605640732961,437.1623540906989,423.5869474600045,425.3053588867188,7912892.0,BHARTIARTL,-0.009802006669857644,False
2018-01-19,415.85411966089833,429.8161500069922,415.4244950047281,427.7970275878906,9966300.0,BHARTIARTL,0.005858540573516535,False
2018-01-22,425.8208194417096,428.312508454273,419.2908858548405,421.6107482910156,4532165.0,BHARTIARTL,-0.014460781393821232,False
2018-01-23,424.4461271230164,428.5702850591006,419.9782578408991,422.8136291503906,6150836.0,BHARTIARTL,0.0028530602320999687,False
2018-01-24,418.3458451417397,418.4317584430041,391.0661463324749,394.8036804199219,29348889.0,BHARTIARTL,-0.06624656065783041,False
2018-01-25,398.2403597412515,398.2403597412515,381.87255680203697,388.96099853515625,20580178.0,BHARTIARTL,-0.014798954960478672,False
2018-01-26,398.2403597412515,398.2403597412515,381.87255680203697,388.96099853515625,20580178.0,BHARTIARTL,0.0,False
2018-01-29,381.4859510410287,383.54801524612446,373.7960869049917,378.5646667480469,27139736.0,BHARTIARTL,-0.026728468474377598,False
